Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
2257,José Salinas,es ESP,DF,Espanyol,es La Liga,25.0,2000,10,2,241,2.7,0,0,0,0,0,0,2,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2257,es ESP,DF,es La Liga,25-210,2000,2.7,0,0,0,,0.00,0.00,,,0,0,2840,es ESP,DF,es La Liga,25-210,2000,10,241,24,8.1,2.7,2,90,2,8,8,23,1.70,2,7,-5,-1.87,-1.64,2257,es ESP,DF,es La Liga,25-210,2000,2.7,2,0,0,8,4,0,7,2,2,1
2258,Mohammed Salisu,gh GHA,DF,Monaco,fr Ligue 1,27.0,1999,12,12,1080,12.0,1,0,1,1,0,0,3,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,2258,gh GHA,DF,fr Ligue 1,27-011,1999,12.0,1,8,2,25.0,0.67,0.17,0.13,0.50,0,0,2841,gh GHA,DF,fr Ligue 1,27-011,1999,12,1080,90,38.7,12.0,12,90,12,0,,3,1.17,15,21,-6,-0.50,-1.18,2258,gh GHA,DF,fr Ligue 1,27-011,1999,12.0,3,0,0,17,3,4,0,19,11,1
2259,Lazar Samardzic,rs SRB,MF,Atalanta,it Serie A,24.0,2002,24,10,954,10.6,2,1,3,2,0,0,1,0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,2259,rs SRB,MF,it Serie A,24-063,2002,10.6,2,22,7,31.8,2.08,0.66,0.09,0.29,0,0,2844,rs SRB,MF,it Serie A,24-063,2002,24,954,40,31.2,10.6,10,70,3,14,18,10,1.54,16,13,+3,+0.28,-0.23,2259,rs SRB,MF,it Serie A,24-063,2002,10.6,1,0,0,16,9,1,68,9,8,0
2260,Mbwana Samatta,tz TAN,FW,Le Havre,fr Ligue 1,33.0,1992,24,14,1275,14.2,2,1,3,2,0,0,4,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,2260,tz TAN,FW,fr Ligue 1,33-126,1992,14.2,2,38,14,36.8,2.68,0.99,0.05,0.14,0,0,2845,tz TAN,FW,fr Ligue 1,33-126,1992,24,1275,53,45.7,14.2,14,70,2,10,30,0,0.92,15,19,-4,-0.28,+0.25,2260,tz TAN,FW,fr Ligue 1,33-126,1992,14.2,4,0,0,31,15,7,6,3,6,0
2261,Mama Samba Baldé,gw GNB,"FW,MF",Brest,fr Ligue 1,30.0,1995,15,8,685,7.6,2,2,4,2,0,0,0,0,0.53,,,,,,,,,,,,,,,,,,,,,,,,,2261,gw GNB,"FW,MF",fr Ligue 1,30-173,1995,7.6,2,29,5,17.2,3.81,0.66,0.07,0.40,0,0,2846,gw GNB,"FW,MF",fr Ligue 1,30-173,1995,15,685,46,25.4,7.6,8,61,0,7,28,0,1.00,7,17,-10,-1.31,-1.49,2261,gw GNB,"FW,MF",fr Ligue 1,30-173,1995,7.6,0,0,0,11,11,0,3,4,6,0
2262,Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,32.0,1994,30,30,2700,30.0,0,0,0,0,0,0,4,0,0.00,139,fr FRA,GK,fr Ligue 1,32-003,1994,30,30,2700,30.0,39,1.30,114,79,68.4,16,8,6,10,33.3,5,3,2,0,2262,fr FRA,GK,fr Ligue 1,32-003,1994,30.0,0,0,0,,0.00,0.00,,,0,0,2847,fr FRA,GK,fr Ligue 1,32-003,1994,30,2700,90,96.8,30.0,30,90,30,0,,0,1.87,53,39,+14,+0.47,+2.47,2262,fr FRA,GK,fr Ligue 1,32-003,1994,30.0,4,0,0,0,7,0,0,0,0,0
2263,Albert Sambi Lokonga,be BEL,MF,Hamburger SV,de Bundesliga,26.0,1999,23,17,1463,16.3,5,0,5,5,0,0,3,0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,2263,be BEL,MF,de Bundesliga,26-188,1999,16.3,5,15,9,60.0,0.92,0.55,0.33,0.56,0,0,2848,be BEL,MF,de Bundesliga,26-188,1999,23,1463,64,52.4,16.3,17,81,8,6,14,1,1.09,23,26,-3,-0.18,+0.70,2263,be BEL,MF,de Bundesliga,26-188,1999,16.3,3,0,0,19,25,0,12,13,11,0
2264,Antonio Sanabria,py PAR,FW,Cremonese,it Serie A,30.0,1996,23,9,866,9.6,1,1,2,1,0,0,2,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,2264,py PAR,FW,it Serie A,30-055,1996,9.6,1,11,4,36.4,1.14,0.42,0.09,0.25,0,0,2851,py PAR,FW,it Serie A,30-055,1996,23,866,38,28.3,9.6,9,66,0,14,20,4,1.00,7,11,-4,-0.42,+0.45,2264,py PAR,FW,it Serie A,30-055,1996,9.6,2,0,0,15,15,6,1,1,2,0
2265,Oihan Sancet,es ESP,MF,Athletic Club,es La Liga,26.0,2000,26,21,1679,18.7,3,0,3,1,2,2,4,1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,2265,es ESP,MF,es La Liga,26-003,2000,18.7,3,44,14,31.8,2.36,0.75,0.02,0.07,2,2,2852,es ESP,MF,es La Liga,26-003,2000,26,1679,65,56.5,18.7,21,72,2,5,35,0,0.96,14,24,-10,-0.54,-0.40,2265,es ESP,MF,es La Liga,26-003,2000,18.7,4,1,0,27,26,0,21,2,10,0
2266,Álex Sánchez,es ESP,FW,Elche,es La Liga,20.0,2006,1,0,6,0.1,0,1,1,0,0,0,0,0,15.00,,,,,,,,,,,,,,,,,,,,,,,,,2266,es ESP,FW,es La Liga,20-054,2006,0.1,0,0,0,,0.00,0.00,,,0,0,2853,es ESP,FW,es La Liga,20-054,2006,1,6,6,0.2,0.1,0,,0,1,6,2,0.00,1,1,0,0.00,+0.18,2266,es ESP,FW,es La Liga,20-054,2006,0.1,0,0,0,0,0,0,0,0,1,0
2267,Alexis Sánchez,cl CHI,"FW,MF",Sevilla,es La Liga,37.0,1988,23,10,1097,12.2,3,1,4,2,1,1,1,0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,2267,cl CHI,"FW,MF",es La Liga,37-130,1988,12.2,3,21,7,33.3,1.72,0.57,0.10,0.29,1,1,2854,cl CHI,"FW,MF",es La Liga,37-130,1988,23,1097,48,36.9,12.2,10,76,3,13,26,3,1.00,16,30,-14,-1.15,-1.10,2267,cl CHI,"FW,MF",es La Liga,37-130,1988,12.2,1,0,0,12,21,9,21,5,10,0
2268,Antonio Sánchez,es ESP,"MF,DF",Mallorca,es La Liga,29.0,1997,27,9,1000,11.1,0,0,0,0,0,0,4,1,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2268,es ESP,"MF,DF",es La Liga,29-117,1997,11.1,0,6,3,50.0,0.54,0.27,0.00,0.00,0,0,2855,es ESP,"MF,DF",es La Liga,29-117,1997,27,1000,37,33.7,11.1,9,75,1,18,18,5,1.15,13,21,-8,-0.72,-0.63,2268,es ESP,"MF,DF",es La Liga,29-117,1997,11.1,4,1,1,14,10,1,27,15,10,0
2269,Juanlu Sánchez,es ESP,"MF,DF",Sevilla,es La Liga,22.0,2003,28,23,1902,21.1,0,3,3,0,0,0,5,1,0.14,,,,,,,,,,,,,,,,,,,,,,,,,2269,es ESP,"MF,DF",es La Liga,22-256,2003,21.1,0,13,1,7.7,0.62,0.05,0.00,0.00,0,0,2857,es ESP,"MF,DF",es La Liga,22-256,2003,28,1902,68,64.0,21.1,23,75,9,5,35,3,0.75,21,36,-15,-0.71,-0.71,2269,es ESP,"MF,DF",es La Liga,22-256,2003,21.1,5,1,1,21,38,4,55,11,38,0
2270,Borja Sánchez Laborde,es ESP,MF,Oviedo,es La Liga,30.0,1996,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2270,es ESP,MF,es La Liga,30-061,1996,0.2,0,0,0,,0.00,0.00,,,0,0,2858,es ESP,MF,es La Liga,30-061,1996,1,14,14,0.5,0.2,0,,0,1,14,0,0.00,0,0,0,0.00,+0.76,2270,es ESP,MF,es La Liga,30-061,1996,0.2,0,0,0,0,0,0,0,0,0,0
2271,Manu Sánchez,es ESP,DF,Levante,es La Liga,25.0,2000,29,28,2533,28.1,1,2,3,1,0,0,8,0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,2271,es ESP,DF,es La Liga,25-247,2000,28.1,1,11,3,27.3,0.39,0.11,0.09,0.33,0,0,2860,es ESP,DF,es La Liga,25-247,2000,29,2533,87,85.3,28.1,28,88,23,1,62,3,1.00,32,41,-9,-0.32,+0.50,2271,es ESP,DF,es La Liga,25-247,2000,28.1,8,0,0,34,18,2,67,34,49,0
2272,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,28.0,1997,32,32,2794,31.0,0,1,1,0,0,0,3,1,0.03,140,es ESP,GK,eng Premier League,28-161,1997,32,32,2794,31.0,43,1.39,132,89,68.2,12,8,12,9,28.1,1,1,0,0,2272,es ESP,GK,eng Premier League,28-161,1997,31.0,0,0,0,,0.00,0.00,,,0,0,2861,es ESP,GK,eng Premier League,28-161,1997,32,2794,87,91.3,31.0,32,87,31,0,,1,1.38,47,41,+6,+0.19,-0.48,2272,es ESP,GK,eng Premier League,28-161,1997,31.0,3,1,0,2,11,0,0,1,0,0
2273,Selton Sánchez,es ESP,MF,Athletic Club,es La Liga,19.0,2007,7,2,196,2.2,0,1,1,0,0,0,0,0,0.46,,,,,,,,,,,,,,,,,,,,,,,,,2273,es ESP,MF,es La Liga,19-067,2007,2.2,0,4,1,25.0,1.84,0.46,0.00,0.00,0,0,2862,es ESP,MF,es La Liga,19-067,2007,7,196,28,6.6,2.2,2,54,0,5,18,12,1.43,3,4,-1,-0.46,-0.10,2273,es ESP,MF,es La Liga,19-067,2007,2.2,0,0,0,5,5,1,0,1,2,0
2274,Jadon Sancho,eng ENG,MF,Aston Villa,eng Premier League,26.0,2000,21,8,791,8.8,0,2,2,0,0,0,0,0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,2274,eng ENG,MF,eng Premier League,26-034,2000,8.8,0,10,3,30.0,1.14,0.34,0.00,0.00,0,0,2863,eng ENG,MF,eng Premier League,26-034,2000,21,791,38,25.8,8.8,8,65,0,13,21,5,1.76,12,7,+5,+0.57,+0.57,2274,eng ENG,MF,eng Premier League,26-034,2000,8.8,0,0,0,3,2,2,21,2,2,0
2275,Álex Sancris,es ESP,"MF,FW",Getafe,es La Liga,29.0,1997,16,5,645,7.2,0,1,1,0,0,0,3,1,0.14,,,,,,,,,,,,,,,,,,,,,,,,,2275,es ESP,"MF,FW",es La Liga,29-100,1997,7.2,0,11,4,36.4,1.53,0.56,0.00,0.00,0,0,2864,es ESP,"MF,FW",es La Liga,29-100,1997,16,645,40,21.7,7.2,5,73,0,11,26,12,0.63,7,8,-1,-0.14,+0.05,2275,es ESP,"MF,FW",es La Liga,29-100,1997,7.2,3,1,1,15,11,8,53,2,5,0
2276,Philipp Sander,de GER,"DF,MF",Gladbach,de Bundesliga,28.0,1998,27,26,2180,24.2,2,0,2,2,0,0,2,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,2276,de GER,"DF,MF",de Bundesliga,28-066,1998,24.2,2,23,7,30.4,0.95,0.29,0.09,0.29,0,0,2865,de GER,"DF,MF",de Bundesliga,28-066,1998,27,2180,81,78.1,24.2,26,83,16,1,30,1,0.89,30,36,-6,-0.25,+0.93,2276,de GER,"DF,MF",de Bundesliga,28-066,1998,24.2,2,0,0,24,12,0,24,45,38,1
2277,James Sands,us USA,MF,St Pauli,de Bundesliga,25.0,2000,24,23,1934,21.5,1,0,1,1,0,0,4,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,2277,us USA,MF,de Bundesliga,25-296,2000,21.5,1,16,4,25.0,0.74,0.19,0.06,0.25,0,0,2866,us USA,MF,de Bundesliga,25-296,2000,24,1934,81,69.3,21.5,23,84,15,1,11,0,1.00,17,34,-17,-0.79,+0.26,2277,us USA,MF,de Bundesliga,25-296,2000,21.5,4,0,0,26,38,0,9,41,23,0
2278,Ibou Sané,sn SEN,"FW,MF",Metz,fr Ligue 1,21.0,2005,16,5,541,6.0,1,1,2,1,0,0,2,0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,2278,sn SEN,"FW,MF",fr Ligue 1,21-031,2005,6.0,1,6,3,50.0,1.00,0.50,0.17,0.33,0,0,2867,sn SEN,"FW,MF",fr Ligue 1,21-031,2005,16,541,34,19.4,6.0,5,76,0,11,14,4,0.75,8,11,-3,-0.50,+0.94,2278,sn SEN,"FW,MF",fr Ligue 1,21-031,2005,6.0,2,0,0,9,15,3,14,1,3,0
2279,Sadibou Sané,sn SEN,DF,Metz,fr Ligue 1,21.0,2004,20,19,1670,18.6,2,1,3,2,0,0,4,2,0.16,,,,,,,,,,,,,,,,,,,,,,,,,2279,sn SEN,DF,fr Ligue 1,21-322,2004,18.6,2,5,2,40.0,0.27,0.11,0.40,1.00,0,0,2868,sn SEN,DF,fr Ligue 1,21-322,2004,20,1670,84,59.9,18.6,19,87,17,1,17,3,0.25,16,42,-26,-1.40,-0.36,2279,sn SEN,DF,fr Ligue 1,21-322,2004,18.6,4,2,0,19,12,0,0,33,31,1
2280,Arouna Sangante,sn SEN,DF,Le Havre,fr Ligue 1,24.0,2002,26,26,2145,23.8,1,1,2,1,0,0,4,2,0.08,,,,,,,,,,,,,,,,,,,,,,,,,2280,sn SEN,DF,fr Ligue 1,24-016,2002,23.8,1,9,5,55.6,0.38,0.21,0.11,0.20,0,0,2869,sn SEN,DF,fr Ligue 1,24-016,2002,26,2145,83,76.9,23.8,26,83,16,0,,0,1.00,21,32,-11,-0.46,-0.18,2280,sn SEN,DF,fr Ligue 1,24-016,2002,23.8,4,2,0,39,37,0,6,34,24,0
2281,Buba Sangaré,es ESP,"DF,MF",Elche,es La Liga,18.0,2007,8,6,401,4.5,0,0,0,0,0,0,2,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2281,es ESP,"DF,MF",es La Liga,18-265,2007,4.5,0,2,0,0.0,0.45,0.00,0.00,,0,0,2870,es ESP,"DF,MF",es La Liga,18-265,2007,8,401,50,13.5,4.5,6,62,0,2,14,2,1.50,4,7,-3,-0.67,-0.57,2281,es ESP,"DF,MF",es La Liga,18-265,2007,4.5,2,0,0,16,6,0,9,5,10,0
2282,Ibrahim Sangaré,ci CIV,MF,Nottingham Forest,eng Premier League,28.0,1997,26,24,1990,22.1,2,2,4,2,0,0,5,0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,2282,ci CIV,MF,eng Premier League,28-147,1997,22.1,2,16,5,31.3,0.72,0.23,0.13,0.40,0,0,2872,ci CIV,MF,eng Premier League,28-147,1997,26,1990,77,65.0,22.1,24,82,16,2,8,3,1.38,30,24,+6,+0.27,+1.11,2282,ci CIV,MF,eng Premier League,28-147,1997,22.1,5,0,0,39,18,0,8,18,30,0
2283,Mamadou Sangare,ml MLI,MF,Lens,fr Ligue 1,23.0,2002,27,25,2143,23.8,3,4,7,3,0,0,5,0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,2283,ml MLI,MF,fr Ligue 1,23-306,2002,23.8,3,48,12,25.0,2.02,0.50,0.06,0.25,0,0,2873,ml MLI,MF,fr Ligue 1,23-306,2002,27,2143,79,79.4,23.8,25,83,18,2,33,0,2.22,46,26,+20,+0.84,-0.45,2283,ml MLI,MF,fr Ligue 1,23-306,2002,23.8,5,0,0,33,42,3,7,36,49,0
2284,Nhoa Sangui,fr FRA,DF,Paris FC,fr Ligue 1,20.0,2006,24,16,1557,17.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2284,fr FRA,DF,fr Ligue 1,20-060,2006,17.3,0,4,1,25.0,0.23,0.06,0.00,0.00,0,0,2874,fr FRA,DF,fr Ligue 1,20-060,2006,24,1557,65,55.8,17.3,16,89,14,8,16,0,1.33,19,27,-8,-0.46,-0.54,2284,fr FRA,DF,fr Ligue 1,20-060,2006,17.3,0,0,0,4,16,2,37,17,13,0
2285,Maroan Sannadi,ma MAR,FW,Athletic Club,es La Liga,25.0,2001,9,2,279,3.1,1,0,1,1,0,0,2,0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,2285,ma MAR,FW,es La Liga,25-086,2001,3.1,1,8,4,50.0,2.58,1.29,0.13,0.25,0,0,2875,ma MAR,FW,es La Liga,25-086,2001,9,279,31,9.4,3.1,2,56,0,7,24,2,1.33,4,8,-4,-1.29,-1.02,2285,ma MAR,FW,es La Liga,25-086,2001,3.1,2,0,0,8,5,3,2,1,1,0
2286,Kaishu Sano,jp JPN,MF,Mainz 05,de Bundesliga,25.0,2000,31,31,2789,31.0,1,2,3,1,0,0,1,0,0.10,,,,,,,,,,,,,,,,,,,,,,,,,2286,jp JPN,MF,de Bundesliga,25-119,2000,31.0,1,19,4,21.1,0.61,0.13,0.05,0.25,0,0,2876,jp JPN,MF,de Bundesliga,25-119,2000,31,2789,90,100.0,31.0,31,90,30,0,,0,1.10,39,49,-10,-0.32,-0.32,2286,jp JPN,MF,de Bundesliga,25-119,2000,31.0,1,0,0,13,28,4,16,66,31,0
2287,Morgan Sanson,fr FRA,MF,Nice,fr Ligue 1,31.0,1994,28,17,1541,17.1,0,2,2,0,0,0,4,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,2287,fr FRA,MF,fr Ligue 1,31-253,1994,17.1,0,16,4,25.0,0.93,0.23,0.00,0.00,0,0,2877,fr FRA,MF,fr Ligue 1,31-253,1994,28,1541,55,55.2,17.1,17,80,7,11,17,0,0.93,13,36,-23,-1.34,-1.42,2287,fr FRA,MF,fr Ligue 1,31-253,1994,17.1,4,0,0,32,17,2,37,23,19,0
2288,Baptiste Santamaria,fr FRA,MF,Valencia,es La Liga,31.0,1995,19,7,754,8.4,1,1,2,1,0,0,2,0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,2288,fr FRA,MF,es La Liga,31-050,1995,8.4,1,6,2,33.3,0.72,0.24,0.17,0.50,0,0,2878,fr FRA,MF,es La Liga,31-050,1995,19,754,40,25.4,8.4,7,84,6,12,14,13,1.21,11,17,-6,-0.72,-0.51,2288,fr FRA,MF,es La Liga,31-050,1995,8.4,2,0,0,13,10,1,3,8,5,0
2289,Yago Santiago,es ESP,MF,Elche,es La Liga,23.0,2003,9,3,281,3.1,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2289,es ESP,MF,es La Liga,23-013,2003,3.1,0,2,0,0.0,0.64,0.00,0.00,,0,0,2879,es ESP,MF,es La Liga,23-013,2003,9,281,31,9.5,3.1,3,64,0,6,15,10,0.67,3,5,-2,-0.64,-0.51,2289,es ESP,MF,es La Liga,23-013,2003,3.1,1,0,0,3,2,1,6,1,1,0
2290,Yellu Santiago,es ESP,MF,Hellas Verona,it Serie A,21.0,2004,2,0,6,0.1,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2290,es ESP,MF,it Serie A,21-338,2004,0.1,0,2,1,50.0,30.00,15.00,0.00,0.00,0,0,2880,es ESP,MF,it Serie A,21-338,2004,2,6,3,0.2,0.1,0,,0,2,3,12,1.00,0,0,0,0.00,+0.97,2290,es ESP,MF,it Serie A,21-338,2004,0.1,0,0,0,0,1,0,0,0,0,0
2291,Alisson Santos,br BRA,MF,Napoli,it Serie A,23.0,2002,10,5,566,6.3,3,0,3,3,0,0,0,0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,2291,br BRA,MF,it Serie A,23-213,2002,6.3,3,22,12,54.5,3.50,1.91,0.14,0.25,0,0,2881,br BRA,MF,it Serie A,23-213,2002,10,566,57,18.5,6.3,5,82,1,5,32,1,2.00,13,6,+7,+1.11,+0.68,2291,br BRA,MF,it Serie A,23-213,2002,6.3,0,0,0,1,5,1,31,2,7,0
2292,Andrey Santos,br BRA,MF,Chelsea,eng Premier League,21.0,2004,24,11,1075,11.9,0,0,0,0,0,0,4,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2292,br BRA,MF,eng Premier League,21-360,2004,11.9,0,9,1,11.1,0.75,0.08,0.00,0.00,0,0,2882,br BRA,MF,eng Premier League,21-360,2004,24,1075,45,35.1,11.9,11,70,3,13,23,9,1.50,17,16,+1,+0.08,-0.23,2292,br BRA,MF,eng Premier League,21-360,2004,11.9,4,0,0,12,20,1,2,18,15,0
2293,Kauã Santos,br BRA,GK,Eintracht Frankfurt,de Bundesliga,23.0,2003,13,13,1084,12.0,0,0,0,0,0,0,0,0,0.00,141,br BRA,GK,de Bundesliga,23-017,2003,13,13,1084,12.0,32,2.66,68,37,54.4,3,4,6,2,15.4,1,1,0,0,2293,br BRA,GK,de Bundesliga,23-017,2003,12.0,0,0,0,,0.00,0.00,,,0,0,2883,br BRA,GK,de Bundesliga,23-017,2003,13,1084,83,38.9,12.0,13,83,12,0,,9,1.00,27,32,-5,-0.42,-0.57,2293,br BRA,GK,de Bundesliga,23-017,2003,12.0,0,0,0,0,3,0,0,0,1,0
2294,Tiago Santos,pt POR,DF,Lille,fr Ligue 1,23.0,2002,14,8,703,7.8,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2294,pt POR,DF,fr Ligue 1,23-279,2002,7.8,0,8,0,0.0,1.02,0.00,0.00,,0,0,2885,pt POR,DF,fr Ligue 1,23-279,2002,14,703,50,25.2,7.8,8,79,1,6,12,9,1.36,7,8,-1,-0.13,-0.86,2294,pt POR,DF,fr Ligue 1,23-279,2002,7.8,0,0,0,13,21,0,31,5,8,0
2295,Renzo Saravia,ar ARG,DF,Valencia,es La Liga,32.0,1993,2,1,150,1.7,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2295,ar ARG,DF,es La Liga,32-316,1993,1.7,0,1,0,0.0,0.60,0.00,0.00,,0,0,2889,ar ARG,DF,es La Liga,32-316,1993,2,150,75,5.1,1.7,1,70,0,1,80,5,2.00,3,2,+1,+0.60,+0.98,2295,ar ARG,DF,es La Liga,32-316,1993,1.7,1,0,0,2,5,0,0,2,2,0
2296,Alejo Sarco,ar ARG,FW,Gladbach,de Bundesliga,20.0,2006,2,0,49,0.5,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2296,ar ARG,FW,de Bundesliga,20-112,2006,0.5,0,1,0,0.0,1.84,0.00,0.00,,0,0,2890,ar ARG,FW,de Bundesliga,20-112,2006,2,49,25,1.8,0.5,0,,0,2,25,4,0.50,0,2,-2,-3.67,-3.28,2296,ar ARG,FW,de Bundesliga,20-112,2006,0.5,0,0,0,0,0,0,0,0,0,0
2297,Alejo Sarco,ar ARG,FW,Leverkusen,de Bundesliga,20.0,2006,3,0,74,0.8,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2297,ar ARG,FW,de Bundesliga,20-112,2006,0.8,0,2,0,0.0,2.43,0.00,0.00,,0,0,2891,ar ARG,FW,de Bundesliga,20-112,2006,3,74,25,2.7,0.8,0,,0,3,25,8,2.00,0,0,0,0.00,-0.66,2297,ar ARG,FW,de Bundesliga,20-112,2006,0.8,0,0,0,2,2,0,0,0,0,0
2298,Jeremy Sarmiento,ec ECU,MF,Cremonese,it Serie A,23.0,2002,7,0,142,1.6,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2298,ec ECU,MF,it Serie A,23-316,2002,1.6,0,2,2,100.0,1.27,1.27,0.00,0.00,0,0,2892,ec ECU,MF,it Serie A,23-316,2002,7,142,20,4.6,1.6,0,,0,7,20,6,1.00,2,2,0,0.00,+0.77,2298,ec ECU,MF,it Serie A,23-316,2002,1.6,0,0,0,0,1,0,2,2,2,0
2299,Amin Sarr,se SWE,"FW,MF",Hellas Verona,it Serie A,25.0,2001,32,9,1051,11.7,0,1,1,0,0,0,2,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,2299,se SWE,"FW,MF",it Serie A,25-048,2001,11.7,0,17,5,29.4,1.46,0.43,0.00,0.00,0,0,2894,se SWE,"FW,MF",it Serie A,25-048,2001,32,1051,33,34.3,11.7,9,66,0,23,20,0,0.56,7,32,-25,-2.14,-1.78,2299,se SWE,"FW,MF",it Serie A,25-048,2001,11.7,2,1,1,25,21,7,10,4,9,0
2300,Bouna Sarr,sn SEN,"MF,DF",Metz,fr Ligue 1,34.0,1992,9,7,625,6.9,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2300,sn SEN,"MF,DF",fr Ligue 1,34-087,1992,6.9,0,9,3,33.3,1.30,0.43,0.00,0.00,0,0,2895,sn SEN,"MF,DF",fr Ligue 1,34-087,1992,9,625,69,22.4,6.9,7,81,3,2,30,2,0.33,8,16,-8,-1.15,+0.14,2300,sn SEN,"MF,DF",fr Ligue 1,34-087,1992,6.9,1,0,0,8,13,2,25,7,9,0
2301,Ismaila Sarr,sn SEN,MF,Crystal Palace,eng Premier League,28.0,1998,23,21,1874,20.8,7,1,8,5,2,2,2,0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,2301,sn SEN,MF,eng Premier League,28-062,1998,20.8,7,37,16,43.2,1.78,0.77,0.14,0.31,2,2,2896,sn SEN,MF,eng Premier League,28-062,1998,23,1874,81,63.1,20.8,21,86,17,2,30,0,1.35,27,22,+5,+0.24,+0.90,2301,sn SEN,MF,eng Premier League,28-062,1998,20.8,2,0,0,12,38,13,18,7,9,0
2302,Malang Sarr,fr FRA,DF,Lens,fr Ligue 1,27.0,1999,29,29,2610,29.0,0,1,1,0,0,0,2,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,2302,fr FRA,DF,fr Ligue 1,27-095,1999,29.0,0,20,5,25.0,0.69,0.17,0.00,0.00,0,0,2897,fr FRA,DF,fr Ligue 1,27-095,1999,29,2610,90,96.7,29.0,29,90,29,0,,0,2.17,60,30,+30,+1.03,+3.03,2302,fr FRA,DF,fr Ligue 1,27-095,1999,29.0,2,0,0,17,17,0,10,66,39,0
2303,Mamadou Sarr,sn SEN,DF,Strasbourg,fr Ligue 1,20.0,2005,15,15,1305,14.5,0,0,0,0,0,0,3,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2303,sn SEN,DF,fr Ligue 1,20-242,2005,14.5,0,1,0,0.0,0.07,0.00,0.00,,0,0,2898,sn SEN,DF,fr Ligue 1,20-242,2005,15,1305,87,48.3,14.5,15,87,14,0,,0,1.47,21,16,+5,+0.34,+0.02,2303,sn SEN,DF,fr Ligue 1,20-242,2005,14.5,3,0,0,16,11,0,0,5,13,0
